# Documented local coverage index. Any listed ID must not be downgraded to new-record-required.
# id	basis	 task	acceptance	review
PAY-01	L04 documented atomic payment path	tasks/L04-go-payment-boundary.md	tests/TC-L04-go-payment-boundary.md	reviews/2026-08-14-L04-provider-boundary-review.md
PAY-02	L04 documented webhook verification and dedup	tasks/L04-go-payment-boundary.md	tests/TC-L04-go-payment-boundary.md	reviews/2026-08-14-L04-provider-boundary-review.md
PAY-03	L04 documented payment amount enforcement	tasks/L04-go-payment-boundary.md	tests/TC-L04-go-payment-boundary.md	reviews/2026-08-14-L04-provider-boundary-review.md
PAY-04	L04 documented intent expiry	tasks/L04-go-payment-boundary.md	tests/TC-L04-go-payment-boundary.md	reviews/2026-08-14-L04-provider-boundary-review.md
PAY-05	L04 documented idempotency	tasks/L04-go-payment-boundary.md	tests/TC-L04-go-payment-boundary.md	reviews/2026-08-14-L04-provider-boundary-review.md
PAY-06	L04 documented consent projection	tasks/L04-go-payment-boundary.md	tests/TC-L04-go-payment-boundary.md	reviews/2026-08-14-L04-provider-boundary-review.md
PAY-07	L04 documented reconciliation	tasks/L04-go-payment-boundary.md	tests/TC-L04-go-payment-boundary.md	reviews/2026-08-14-L04-provider-boundary-review.md
PAY-08	L04 documented refunds/disputes	tasks/L04-go-payment-boundary.md	tests/TC-L04-go-payment-boundary.md	reviews/2026-08-14-L04-provider-boundary-review.md
PAY-09	L04 documented default binding	tasks/L04-go-payment-boundary.md	tests/TC-L04-go-payment-boundary.md	reviews/2026-08-14-L04-provider-boundary-review.md
CMP-01	L07 documented control lease	tasks/L07-companion-web-mobile-desktop.md	tests/TC-L07-companion-web-mobile-desktop.md	reviews/2026-08-15-L07-L08-L10-release-surface-review.md
CMP-02	L07 documented state/layout contract	tasks/L07-companion-web-mobile-desktop.md	tests/TC-L07-companion-web-mobile-desktop.md	reviews/2026-08-15-L07-L08-L10-release-surface-review.md
CMP-03	L07 documented layout limits	tasks/L07-companion-web-mobile-desktop.md	tests/TC-L07-companion-web-mobile-desktop.md	reviews/2026-08-15-L07-L08-L10-release-surface-review.md
CMP-07	L07 documented mobile handler wiring	tasks/L07-companion-web-mobile-desktop.md	tests/TC-L07-companion-web-mobile-desktop.md	reviews/2026-08-15-L07-L08-L10-release-surface-review.md
CMP-26	L07 documented session revoke	tasks/L07-companion-web-mobile-desktop.md	tests/TC-L07-companion-web-mobile-desktop.md	reviews/2026-08-15-L07-L08-L10-release-surface-review.md
ALQ-01	L05 documented durable multi-queue delivery/outbox boundary	tasks/L05-go-alert-worker-and-cloud-tasks.md	tests/TC-L05-go-alert-worker-and-cloud-tasks.md	reviews/2026-08-14-L05-worker-boundary-review.md
ALQ-02	L05 documented SSE cursor replay and browser acknowledgement	tasks/L05-go-alert-worker-and-cloud-tasks.md	tests/TC-L05-go-alert-worker-and-cloud-tasks.md	reviews/2026-08-14-L05-worker-boundary-review.md
CMP-04	L07 documented action catalogue and entitlement/activation separation	tasks/L07-companion-web-mobile-desktop.md	tests/TC-L07-companion-web-mobile-desktop.md	reviews/2026-08-15-L07-L08-L10-release-surface-review.md
CMP-32	L07 documented privacy-minimised notification payloads	tasks/L07-companion-web-mobile-desktop.md	tests/TC-L07-companion-web-mobile-desktop.md	reviews/2026-08-15-L07-L08-L10-release-surface-review.md
CMP-33	L07 documented device-only secure session storage	tasks/L07-companion-web-mobile-desktop.md	tests/TC-L07-companion-web-mobile-desktop.md	reviews/2026-08-15-L07-L08-L10-release-surface-review.md
CMP-34	L07 documented encrypted fingerprinted push-token storage	tasks/L07-companion-web-mobile-desktop.md	tests/TC-L07-companion-web-mobile-desktop.md	reviews/2026-08-15-L07-L08-L10-release-surface-review.md
